Year,Weekend,Movie,Weekend Gross ($),Theaters Change (%),Movie,Special Days
2020,May 22-24,+68.9%,220573.0,+68.9%,The Wretched,COVID-19 Pandemic
2020,May 22-25,-,240390.0,-,The Wretched,COVID-19 Pandemic
2020,May 15-17,+51.1%,130583.0,+51.1%,The Wretched,COVID-19 Pandemic
2020,May 8-10,-6.5%,86428.0,-6.5%,The Wretched,COVID-19 Pandemic
2020,May 1-3,+665.9%,92387.0,+665.9%,The Wretched,COVID-19 Pandemic
2020,Apr 24-26,+130%,12062.0,+130%,True History of the Kelly Gang,COVID-19 Pandemic
2020,Apr 17-19,-64.1%,5245.0,-64.1%,Resistance,COVID-19 Pandemic
2020,Apr 10-12,+256.7%,14612.0,+256.7%,"Phoenix, OregonRe-release",COVID-19 Pandemic
2020,Apr 10-13,-,3675.0,-,Swallow,COVID-19 Pandemic
2020,Apr 3-5,+9%,4097.0,+9%,"Phoenix, OregonRe-release",COVID-19 Pandemic
2020,Mar 27-29,-9.7%,3758.0,-9.7%,Strike,COVID-19 Pandemic
2020,Mar 20-22,-100%,4160.0,-100%,"Phoenix, OregonRe-release",COVID-19 Pandemic
2020,Mar 13-15,-45.2%,49580363.0,-46.7%,Onward,COVID-19 Pandemic
2020,Mar 6-8,+8.3%,90403859.0,+3.5%,Onward,
2020,Feb 28-Mar 1,-3.6%,83485776.0,-5.1%,The Invisible Man,
2020,Feb 21-23,-38.1%,86611757.0,-34.3%,Sonic the Hedgehog,
2020,Feb 14-16,+72.6%,140013866.0,+63.6%,Sonic the Hedgehog,
2020,Feb 14-17,-,163923226.0,-,Sonic the Hedgehog,Presidents' Day wknd
2020,Feb 7-9,+25.7%,81131843.0,+18.2%,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,
2020,Jan 31-Feb 2,-38.6%,64549859.0,-33.6%,Bad Boys for Life,
2020,Jan 24-26,-29.2%,105175642.0,-26.9%,Bad Boys for Life,
2020,Jan 17-20,-,182673454.0,-,Bad Boys for Life,MLK wknd
2020,Jan 17-19,+26.5%,148594253.0,+26%,Bad Boys for Life,
2020,Jan 10-12,-10.5%,117434941.0,-7.3%,1917,
2020,Jan 3-5,-29.8%,131220088.0,-27.8%,Star Wars: Episode IX - The Rise of Skywalker,
